Price,Close,High,Low,Open,Volume
Ticker,005930.KS,005930.KS,005930.KS,005930.KS,005930.KS
Date,,,,,
2021-05-24,72014.34375,72646.84112296111,71833.63021486826,72375.77082026348,13398666
2021-05-25,72195.046875,72646.8306476846,72104.69012046307,72285.40362953692,13628942
2021-05-26,72104.6875,72737.18475877192,72014.33074874687,72646.8280075188,11984359
2021-05-27,71923.984375,72285.4114321608,71472.200553549,72285.4114321608,23198510
2021-05-28,72375.765625,72646.83590823971,71743.2682974407,72104.6953417603,12360199
2021-05-31,72737.2109375,72827.5677212733,71923.99988354037,72556.49736995342,13321324
2021-06-01,72827.578125,73460.07570176799,72375.79414159429,72737.22132831886,14058401
2021-06-02,73008.2734375,73550.41408183788,72556.48956721844,72646.84634127475,16414644
2021-06-03,74815.4296875,74996.14328577898,73279.36410212862,73460.07770040761,29546007
2021-06-04,74273.2734375,74725.05733918796,73640.77597513686,74725.05733918796,18112259
2021-06-07,74002.2109375,74815.4220467033,73731.14056776557,74725.06525679182,16496197
2021-06-08,74002.2109375,74634.70846688034,73911.85414758851,74363.6380971459,12781226
2021-06-09,73279.3515625,74092.56261559803,73279.3515625,73640.77869721023,14908823
2021-06-10,73188.984375,73550.41145833333,73098.62760416667,73460.0546875,17586995
2021-06-11,73188.984375,73821.48177083333,72917.9140625,73369.69791666667,14087962
2021-06-14,72737.2109375,73098.63807259317,72737.2109375,73008.28128881988,10550078
2021-06-15,73098.625,73369.69530284301,72827.55469715699,73098.625,10075685
2021-06-16,73911.8515625,74002.20834925122,73279.35405524145,73640.78120224633,14999855
2021-06-17,73098.625,73460.05207045736,72917.91146477131,73279.33853522867,14007385
2021-06-18,72737.2109375,73279.35164013975,72737.2109375,73279.35164013975,14916721
2021-06-21,72195.046875,72285.40362953692,71923.97661138923,72014.33336592616,16063340
2021-06-22,72285.4140625,72556.48436523437,72195.05729492188,72466.12759765625,11773365
2021-06-23,72375.765625,72827.54943039951,72195.0521028402,72737.1926693196,13856548
2021-06-24,73369.71875,73550.43234298029,72375.79398860838,72646.86437807881,18771080
2021-06-25,73731.1328125,74002.20315372242,73369.70569087009,73640.77603209253,13481405
2021-06-28,74002.2109375,74092.56772741147,73731.14056776557,73821.49735767704,11578529
2021-06-29,73513.015625,74511.34052854938,73331.50200617283,74329.82690972222,15744317
2021-06-30,73240.75,73876.04770755886,73240.75,73603.77726146221,13288643
2021-07-01,72696.2109375,73149.99502574907,72605.45411985018,73059.23820809925,13382882
2021-07-02,72605.4609375,72968.48824218751,72514.70411132813,72605.4609375,8753097
2021-07-05,72968.46875,73331.49595771145,72605.44154228856,72696.19834421642,8330969
2021-07-06,73694.546875,73694.546875,73059.24905711207,73150.00588823891,12131651
2021-07-07,73331.5,73785.28403465346,72877.71596534654,73694.52722772278,15992202
2021-07-08,72514.6953125,73694.53390957447,72514.6953125,73603.7770944149,16660998
2021-07-09,72060.90625,72423.93348551638,71697.87901448362,72242.41986775819,22720577
2021-07-12,72333.1796875,72605.45012547052,72151.66606218633,72514.69331281367,9768108
2021-07-13,72423.921875,72786.94905231829,72423.921875,72605.43546365915,9863450
2021-07-14,72151.6640625,72242.42087264151,71788.63682193396,72060.90725235849,11575636
2021-07-15,73149.984375,73149.984375,72151.65952620968,72423.92993951614,13766279
2021-07-16,72423.921875,72696.19225798872,72151.65149201128,72696.19225798872,10859399
2021-07-19,71697.8828125,71879.39643987341,71516.36918512658,71788.6396261867,13155414
2021-07-20,71697.8828125,71697.8828125,71153.34193037974,71244.09874406646,12456646
2021-07-21,71244.09375,71788.63459394904,71244.09375,71697.8777866242,12355296
2021-07-22,72333.1796875,72423.93650015684,71607.12518624529,71697.88199890214,12618790
2021-07-23,71970.140625,72514.68141156998,71879.38382723833,72333.16781604665,9098910
2021-07-26,71516.375,72151.67274746193,71516.375,72060.91592639594,10040975
2021-07-27,71244.09375,72060.90501592356,71244.09375,71879.39140127388,11427693
2021-07-28,71879.390625,71879.390625,70881.06575520833,71062.57936789774,12743417
2021-07-29,71697.8828125,72060.91006724683,71516.36918512658,71516.36918512658,14360453
2021-07-30,71244.09375,71607.12097929936,71244.09375,71607.12097929936,13823411
2021-08-02,71970.140625,72151.65422052333,71425.59983843002,71879.38382723833,11739124
2021-08-03,73876.046875,73876.046875,71970.15377380222,72060.91058814497,24339360
2021-08-04,75237.3984375,75418.91206461098,74239.07348838962,74602.10074261158,25642368
2021-08-05,74511.328125,75600.40965666871,74420.57133069428,75600.40965666871,18485469
2021-08-06,73966.8046875,74874.37284317485,73785.29105636504,74329.83194976994,13342623
2021-08-09,73966.8046875,74692.85921203988,73422.2637940951,73966.8046875,15522581
2021-08-10,72786.9765625,74783.62679239402,72696.21973386846,74692.86996376247,20362639
2021-08-11,71244.09375,72423.93224522292,71244.09375,72242.41863057324,30241137
2021-08-12,69882.75,70971.83181818182,69791.99318181818,69973.50681818182,42365223
2021-08-13,67523.0703125,68975.1793514785,67250.79986769153,68793.66572160619,61270643
2021-08-17,67341.5546875,68158.36599772575,67160.0410630054,67160.0410630054,30944847
2021-08-18,67069.2734375,67704.57102080515,66343.21905657984,67069.2734375,29192631
2021-08-19,66343.2265625,67523.06506497948,66343.2265625,66706.25379403215,22166298
2021-08-20,65980.1953125,67069.27694076685,65798.68170778886,66706.24973134456,22364803
2021-08-23,66524.734375,67160.03197476125,66252.46397510232,66524.734375,19384648
2021-08-24,68612.1640625,68702.92089327051,67069.29793940145,67069.29793940145,21016913
2021-08-25,68702.90625,69519.71755284016,67976.85175858652,69156.69030713342,22319664
2021-08-26,67704.5859375,69156.69501926943,67704.5859375,69065.93820165885,16671494
2021-08-27,67432.3046875,68067.60230905114,66978.52067210633,67432.3046875,15172748
2021-08-30,67704.5859375,68521.39729599531,67341.55866705764,68430.64047838472,12686999
2021-08-31,69610.46875,69610.46875,67432.30545143416,67976.84627607562,24630370
2021-09-01,69701.2109375,69973.48129272461,68884.39987182617,69610.45415242513,16114775
2021-09-02,68975.1875,69701.24210526315,68702.91702302631,69701.24210526315,15347486
2021-09-03,69519.71875,69610.47556298955,68975.17787206266,69338.20512402088,12096419
2021-09-06,70155.0234375,70427.29390362225,69519.72568321474,69701.23932729625,12861180
2021-09-07,69065.921875,69973.48983656373,68884.40828268726,69973.48983656373,13239401
2021-09-08,69247.453125,69338.20994429883,68612.15538990825,68975.18266710354,11798147
2021-09-09,68339.875,69519.71347941567,68067.60458167331,69338.19986719788,17600770
2021-09-10,68339.875,68612.14541832669,67886.09096945552,68339.875,10103212
2021-09-13,69247.453125,69247.453125,68158.37129341415,68249.12811271298,11397775
2021-09-14,69519.71875,70518.04369288511,69519.71875,69973.50281494777,18167057
2021-09-15,69882.75,70245.77727272727,69338.20909090909,70245.77727272727,12829128
2021-09-16,69065.921875,70245.76022503285,69065.921875,70155.00342887649,13067622
2021-09-17,70064.265625,70064.265625,68884.42695514896,69247.45423818004,16289502
2021-09-23,70245.7890625,70427.30272932816,69701.2480620155,70336.54589591408,17055590
2021-09-24,70155.0234375,70518.050725663,69973.50979341849,70427.29390362225,12247274
2021-09-27,70518.0546875,70518.0546875,69882.75689752253,70155.02737894144,11699798
2021-09-28,69247.453125,70608.80541448231,69156.69630570117,70518.04859518349,15406382
2021-09-29,67570.5,68664.75910931174,67296.93522267207,68208.81781376518,23992458
2021-09-30,67570.5,68208.81781376518,67205.74696356275,67752.87651821862,19919361
2021-10-01,66749.7890625,67479.29495389343,66476.22435322746,67388.10671746926,15803395
2021-10-05,65837.921875,66567.42793455679,65108.415815443215,66567.42793455679,24013921
2021-10-06,65017.23046875,66385.05439165498,64926.042207223,66202.67786860098,18956962
