Actual_Return,Predicted_Return
17.115763,5.06399
17.247713,6.2710624
17.428589,6.769666
17.56865,6.356912
17.69016,6.926416
17.841267,7.118971
17.977665,7.1520495
18.11577,7.1379056
18.22936,7.0530148
18.304493,7.119095
18.372747,7.2928605
18.457026,7.308871
18.594397,7.2348833
18.708626,6.829992
18.713213,7.0583673
18.708223,7.3943076
18.775063,7.5142837
18.853645,7.3157372
18.922106,7.3167415
18.96112,7.447046
18.977808,7.5548167
18.975285,7.588028
18.907045,7.6240277
18.821032,7.551419
18.665787,7.6169095
18.474514,7.689937
18.26136,7.7122235
18.183088,7.747516
18.05266,7.661512
17.795113,7.684345
17.554565,7.7564244
17.350367,7.771787
17.01243,7.782393
16.772055,7.7988725
16.363676,7.7844477
16.17849,7.8035474
16.122726,7.702578
16.006052,7.6160245
15.930622,7.700761
16.027912,7.6814246
16.219765,7.2882457
16.397625,6.9546685
16.655603,7.015558
16.948694,7.0483274
16.97417,6.719291
16.964977,6.8141475
17.046755,5.6876154
17.14089,6.1786776
17.177813,5.885374
17.147278,6.0110345
17.163044,7.06902
17.056639,7.0373344
17.012125,7.435554
16.993841,7.3683395
17.054972,6.290587
17.062208,5.813977
17.10595,5.3551083
17.172575,5.4176064
17.269247,4.575769
17.434015,4.841931
17.571306,4.838061
17.727169,5.576036
17.807283,5.842542
17.91392,6.476457
18.107328,6.644558
18.212557,5.6392026
18.311396,5.789404
18.382593,5.779224
18.516516,5.5614834
18.625658,4.7467957
18.804132,5.0438914
18.87211,4.5008492
18.886694,6.016139
18.882847,6.1126847
18.890728,6.0424895
18.882353,5.8572297
18.812355,6.380858
18.607931,6.1077633
18.337,6.2862954
17.988354,6.9880676
17.65101,7.1929793
17.353153,7.1570683
